Date,ACWI,AGG,BIL,DBC,EEM,EWJ,GLD,GYLD,IEF,IEV,IVV,IYR,RWX,SHY,TLT,GAL
5/2/2002,,,,,,28.742725,,,,18.868517,78.799149,21.315344,,,,
5/3/2002,,,,,,28.776457,,,,18.983185,77.973251,21.315344,,,,
5/6/2002,,,,,,28.472843,,,,18.613712,76.473648,21.139423,,,,
5/7/2002,,,,,,28.068014,,,,18.56275,76.118652,21.024582,,,,
5/8/2002,,,,,,28.843931,,,,18.983185,78.96579,20.951292,,,,
5/9/2002,,,,,,28.371634,,,,18.916294,78.023956,20.706959,,,,
5/10/2002,,,,,,28.304163,,,,18.645559,76.589561,20.523708,,,,
5/13/2002,,,,,,28.574047,,,,18.919479,78.176125,20.650759,,,,
5/14/2002,,,,,,28.574047,,,,19.126507,79.827866,20.755831,,,,
5/15/2002,,,,,,28.540314,,,,19.104218,79.313492,20.875547,,,,
5/16/2002,,,,,,29.248764,,,,19.171099,79.922073,20.787586,,,,
5/17/2002,,,,,,29.92347,,,,19.359022,80.385689,20.895094,,,,
5/20/2002,,,,,,30.125877,,,,19.123325,79.509102,20.74361,,,,
5/21/2002,,,,,,30.024675,,,,18.957699,78.654259,20.670317,,,,
5/22/2002,,,,,,30.665648,,,,18.979994,79.001991,20.572575,,,,
5/23/2002,,,,,,30.665648,,,,19.053249,79.791656,21.034361,,,,
5/24/2002,,,,,,30.598183,,,,18.77615,78.78466,21.049021,,,,
5/28/2002,,,,,,30.362032,,,,18.852594,78.234085,21.134541,,,,
5/29/2002,,,,,,30.159611,,,,18.88126,77.661758,21.317787,,,,
