Date,BIL,SHY,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
8/24/2010,89.513268,79.334824,88.821487,25.043945,,42.119812,7.182695,23.733562,18.088945,21.130737,,22.436956,24.406698,26.542786
8/25/2010,89.532776,79.259605,89.166573,25.11804,,41.988701,7.203964,23.691574,18.201628,21.178293,,22.422344,24.649204,26.816154
8/26/2010,89.513268,79.259605,88.56897,25.08511,,41.611755,7.145481,23.657984,18.019611,21.019773,,22.320099,24.493307,26.630972
8/27/2010,89.513268,79.20314,89.940918,25.83429,,42.693432,7.29966,24.136681,18.236303,21.154516,,22.743702,24.744482,27.063066
8/30/2010,89.532776,79.297203,88.636307,25.447355,,42.070648,7.145481,23.767155,17.993614,20.972218,,22.400436,24.432684,26.586882
8/31/2010,89.513268,79.325409,88.636307,25.55438,,41.955917,7.209279,23.674784,17.932936,20.988068,,22.502686,24.337412,26.622154
9/1/2010,89.513268,79.278358,91.287552,26.320024,,43.521072,7.48574,24.615385,18.392303,21.36059,,22.992037,24.900375,27.539244
9/2/2010,89.532776,79.25956,92.137665,26.632862,,43.881622,7.560174,24.926123,18.556982,21.495329,,22.992037,25.030291,28.050697
9/3/2010,89.532776,79.221893,93.33284,26.945705,,44.414276,7.71967,25.304041,18.834349,21.630072,,23.094288,25.264143,28.465151
9/7/2010,89.513268,79.30661,92.280754,26.682255,,43.750511,7.544222,25.068893,18.678331,21.542885,,22.977428,25.116899,28.006609
9/8/2010,89.513268,79.250092,92.928856,26.888079,,44.12746,7.618655,25.329237,18.782347,21.638002,,22.867872,25.25548,28.209425
9/9/2010,89.513268,79.165382,93.358093,26.797522,,44.217606,7.714353,25.304041,18.834349,21.709335,,23.094288,25.52397,28.235888
9/10/2010,89.513268,79.155991,93.82943,27.019802,,44.67651,7.724986,25.530798,18.843019,21.81237,,22.962824,25.783796,28.473972
9/13/2010,89.513268,79.221893,94.873077,27.456135,,45.037056,7.8898,25.782745,19.181049,21.836145,,23.043156,25.844423,28.817894
9/14/2010,89.532776,79.278358,94.814209,27.406748,,44.881359,7.820684,25.707165,19.259052,21.87578,,23.01395,25.93104,28.844336
9/15/2010,89.532776,79.297195,95.176094,27.357347,,44.791222,7.847268,25.707165,19.380402,22.026379,,22.882477,26.173548,28.897243
9/16/2010,89.532776,79.31601,95.150848,27.489075,,44.586349,7.826002,25.673569,19.493076,22.050144,,22.802139,26.069613,28.897243
9/17/2010,89.513268,79.334808,95.186386,27.494104,,44.363277,7.784976,25.914141,19.59833,21.991877,,22.763033,26.064394,28.972441
9/20/2010,89.513268,79.344208,96.64183,27.670513,,45.112381,7.934173,26.302433,19.885391,22.231354,,23.065559,26.412605,29.529779
9/21/2010,89.513268,79.400696,96.447182,27.54451,,45.145317,7.859575,26.353083,19.850595,22.191442,,22.947498,26.430027,29.405924
9/22/2010,89.513268,79.391281,95.973351,27.611715,,44.816044,7.731688,26.218018,19.754906,22.231354,,23.109827,26.473549,29.211298
9/23/2010,89.513268,79.400696,95.194862,27.351301,,44.536137,7.582489,25.829725,19.728811,22.087667,,22.844194,26.334261,29.060913
9/24/2010,89.532776,79.391281,97.157967,28.023325,,45.49931,7.784976,26.538782,20.111557,22.383026,,23.213127,26.691183,29.812868
9/27/2010,89.532776,79.410103,96.692589,27.863718,,45.326431,7.699719,26.369961,20.120253,22.255304,,23.257401,26.490955,29.618235
