,SHY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2013-05-31,,0.03703703703703707,,0.03703703703703707,0.33333333333333326,0.03703703703703707,0.03703703703703707,0.40740740740740744,,0.03703703703703707,0.03703703703703707,0.03703703703703707
2013-06-28,,0.15384615384615388,,0.15384615384615388,0.03846153846153845,0.15384615384615388,0.03846153846153845,0.15384615384615388,,0.03846153846153845,0.03846153846153845,0.23076923076923078
2013-07-31,,0.15384615384615388,,0.15384615384615388,0.03846153846153845,0.15384615384615388,0.03846153846153845,0.15384615384615388,,0.03846153846153845,0.03846153846153845,0.23076923076923078
2013-08-30,,0.16363636363636358,,0.19999999999999998,0.01818181818181819,0.19999999999999998,0.01818181818181819,0.19999999999999998,,0.01818181818181819,0.01818181818181819,0.16363636363636358
2013-09-30,,0.16363636363636358,,0.19999999999999998,0.01818181818181819,0.19999999999999998,0.01818181818181819,0.19999999999999998,,0.01818181818181819,0.01818181818181819,0.16363636363636358
2013-10-31,,0.15555555555555553,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.28888888888888886,,0.06666666666666667,0.06666666666666667,0.15555555555555553
2013-11-29,,0.15000000000000005,,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,,0.09999999999999999,0.09999999999999999,0.15000000000000005
2013-12-31,,0.33333333333333326,,0.03703703703703707,0.03703703703703707,0.03703703703703707,0.03703703703703707,0.03703703703703707,,0.40740740740740744,0.03703703703703707,0.03703703703703707
2014-01-31,,0.15000000000000005,,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,,0.09999999999999999,0.15000000000000005,0.09999999999999999
2014-02-28,,0.08333333333333336,,0.08333333333333336,0.08333333333333336,0.08333333333333336,0.08333333333333336,0.08333333333333336,,0.08333333333333336,0.3333333333333331,0.08333333333333336
2014-03-31,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0
2014-04-30,,0.06122448979591837,,0.06122448979591837,0.14285714285714285,0.06122448979591837,0.06122448979591837,0.06122448979591837,,0.06122448979591837,0.14285714285714285,0.3469387755102041
2014-05-30,,0.06122448979591837,,0.06122448979591837,0.14285714285714285,0.06122448979591837,0.06122448979591837,0.06122448979591837,,0.06122448979591837,0.14285714285714285,0.3469387755102041
2014-06-30,,0.06122448979591837,,0.06122448979591837,0.14285714285714285,0.06122448979591837,0.06122448979591837,0.06122448979591837,,0.06122448979591837,0.14285714285714285,0.3469387755102041
2014-07-31,,0.05405405405405405,,0.05405405405405405,0.0810810810810811,0.05405405405405405,0.1891891891891892,0.05405405405405405,,0.0810810810810811,0.21621621621621626,0.21621621621621626
2014-08-29,,0.05405405405405405,,0.05405405405405405,0.0810810810810811,0.05405405405405405,0.1891891891891892,0.05405405405405405,,0.0810810810810811,0.21621621621621626,0.21621621621621626
2014-09-30,,0.0,,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0.16666666666666666,0.16666666666666666
2014-10-31,,0.24999999999999994,,0.24999999999999994,0.022727272727272742,0.022727272727272742,0.20454545454545447,0.20454545454545447,,,0.022727272727272742,0.022727272727272742
2014-11-28,,0.2391304347826087,,0.4565217391304347,0.021739130434782625,0.021739130434782625,0.19565217391304343,,,0.021739130434782625,0.021739130434782625,0.021739130434782625
2014-12-31,,0.32075471698113206,,0.32075471698113206,0.056603773584905676,0.056603773584905676,0.056603773584905676,,,,0.13207547169811318,0.056603773584905676
2015-01-30,,0.34615384615384615,,0.34615384615384615,0.03846153846153845,0.03846153846153845,0.15384615384615383,,,,0.03846153846153845,0.03846153846153845
2015-02-27,,0.30357142857142855,,0.30357142857142855,0.05357142857142858,0.05357142857142858,0.12499999999999997,,,0.05357142857142858,0.05357142857142858,0.05357142857142858
2015-03-31,,0.34,,0.14000000000000004,0.06000000000000002,0.06000000000000002,0.14000000000000004,0.14000000000000004,,0.06000000000000002,0.06000000000000002,
2015-04-30,,0.12,,0.08,0.08,0.08,0.12,0.32,,0.08,0.12,
2015-05-29,,0.10714285714285715,,0.07142857142857144,0.07142857142857144,0.07142857142857144,0.10714285714285715,0.28571428571428575,,0.07142857142857144,0.10714285714285715,0.10714285714285715
2015-06-30,,0.05555555555555555,,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.6111111111111112,,0.05555555555555555,0.05555555555555555,
2015-07-31,,0.1875,,0.1875,,0.125,0.125,,,0.1875,0.1875,
2015-08-31,,0.14893617021276592,,0.14893617021276592,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.14893617021276592,,0.06382978723404255,0.14893617021276592,0.14893617021276592
2015-09-30,,0.14893617021276595,,0.3617021276595745,0.06382978723404256,0.06382978723404256,0.06382978723404256,,,,0.14893617021276595,0.14893617021276595
2015-10-30,,0.33333333333333337,,0.6666666666666667,0.0,,,,,,0.0,
2015-11-30,,,,,,,,,,,1.0,
2015-12-31,,,,0.45,0.05,,,,,,0.05,0.45
2016-01-29,,,,,0.15789473684210525,,,,,,0.15789473684210525,0.6842105263157894
2016-02-29,,,,,0.21428571428571425,,,,,,0.21428571428571425,0.5714285714285715
2016-03-31,,,,0.15384615384615385,0.15384615384615385,,,,,,0.15384615384615385,0.5384615384615384
2016-04-29,,,,,0.0,,0.25,0.25,,,0.0,0.5
2016-05-31,,,,,0.018867924528301886,,0.20754716981132076,0.20754716981132076,,,0.16981132075471697,0.3962264150943396
2016-06-30,,0.1,,,0.06666666666666667,0.1,0.2333333333333333,,,,0.1,0.4
2016-07-29,,,,,0.016949152542372878,,0.15254237288135594,0.3220338983050847,,,0.18644067796610173,0.3220338983050847
2016-08-31,,,,0.1267605633802817,,,,0.295774647887324,,0.15492957746478878,0.1267605633802817,0.295774647887324
2016-09-30,,,,,0.19402985074626866,,,0.4029850746268656,,0.10447761194029849,0.04477611940298507,0.25373134328358204
